Variant,Task Efficiency (%),Avg. Check-In Time (min),Context Match (%),Satisfaction Score (/100)
Baseline DT,70.53389934975503,6.589388559063052,67.82705581336388,83.74278510972975
Baseline DT,66.95264846385565,6.512690434440656,73.04359176684139,79.05809532074804
Baseline DT,65.79957550891874,7.134048034868772,61.60486092025022,71.4124755278644
Baseline DT,69.28561513067356,5.169375804273762,54.54046013792702,70.81381731870597
Baseline DT,63.13712751036132,6.95139786607622,59.11506517708122,65.54371705172119
Baseline DT,75.2816789677156,6.519378959610772,64.57815794625238,65.46656124547657
Baseline DT,65.4325246498266,6.788738071767893,57.75443596643511,76.62932771374317
Baseline DT,65.15687041939785,6.466645000165379,60.83044297151538,85.78412474395542
Baseline DT,68.03386359878412,5.85383125683528,68.80625150777786,66.73076937017966
Baseline DT,69.1234316155233,5.13226390089618,56.76215812616879,75.52053966238856
O only,75.14925295197982,6.202820968713982,69.88706410334233,76.48370893514105
O only,65.39450324238332,5.668093474963174,68.05861451391313,84.22559668944783
O only,73.41192047410124,5.04217590678236,72.21764503779241,76.005031001627
O only,68.9215431986538,6.46700577330452,75.96429746922854,83.50829667896234
O only,68.2074428978204,5.914472574489271,72.25569618643888,83.76060722459745
O only,69.79163335348073,5.9886046140017095,64.63642463776804,71.38162224274018
O only,75.47511361853448,6.913744017142493,70.11834635562423,83.92013751798454
O only,73.4911985102096,5.712928147236925,72.4153967091946,86.96680842885603
O only,71.74236542791621,7.038786193488403,56.615350948324355,82.88484427493879
O only,72.28300710024796,5.920595589720479,70.98633211563816,66.87085718677491
O + R,77.54327963743371,5.278556285755873,90.95936558344022,83.31961103959594
O + R,75.24687494871658,4.849121478207731,88.6531486825785,87.0465048825026
O + R,76.33393520530855,5.3566337165566775,85.29801795232697,89.8620379583447
O + R,75.66199293387834,4.936168926701115,83.29235657215816,79.16053422821867
O + R,79.55486908055185,5.230527636089945,84.92096517223409,84.56781661314935
O + R,72.88005410600339,4.88967733861732,83.49487048224024,82.06998001542487
O + R,77.77098572450257,5.302025428407269,92.63336219496318,86.36814237646009
O + R,79.40444652381879,5.062777042116916,77.03303801727394,85.48333894802344
O + R,78.63489781877001,6.331621056242643,84.1113200443974,86.92680830626789
O + R,78.26462409814955,4.5156609811902335,89.58557353951159,88.9085053438218
O + P,79.4432309828765,5.14530627260263,86.75285383030605,80.49259574883087
O + P,78.60611408458111,6.695227812904989,75.74353290439883,83.8348090815889
O + P,76.60857059685934,5.3482621729419,73.1669482170958,86.3742518992241
O + P,71.84455477372298,5.83679621531759,76.07064852252451,92.29973762007015
O + P,72.98866150142143,5.438969241897162,84.04217919990047,81.17654273426417
O + P,77.13258573187693,6.253571377141213,72.90557712101835,86.83853543412921
O + P,77.26551945641855,5.990911435888655,74.61002672996082,80.8181735476629
O + P,78.33996041902928,5.748492336616593,81.45226711159103,87.4857928379879
O + P,73.4118986415282,5.716126848580501,81.64813337717393,83.24259432789452
O + P,83.8496754956935,5.836916460455893,74.82000391286782,88.72621443453531
Full O + R + P,82.28101865527258,4.814833841496981,94.1868036423274,85.74554365393385
Full O + R + P,88.48280361358184,4.665112370774599,92.94162259197962,95.52845473755421
Full O + R + P,84.61475802879082,4.198505534257004,86.60879661038557,85.76308297412443
Full O + R + P,85.15327452987488,4.636460789926658,90.92375595752108,91.6778596965297
Full O + R + P,85.44160605400931,5.081413630862927,88.92076971701957,98.49260899972263
Full O + R + P,87.40213551284802,4.1571369774334865,85.9376977571739,90.43690069487548
Full O + R + P,84.68491908695728,4.785600197636837,91.65097921092212,88.43781591443526
Full O + R + P,82.69026010218111,3.894061110125654,88.24789467735202,91.7830356595645
Full O + R + P,86.08509998121666,4.001704488515204,90.54076942564937,90.08714256702382
Full O + R + P,82.57165620415638,4.561490042378211,90.1153722582502,84.58530692780975
